name,base-drink,topping,fruit,type,country,item,price
YiFang,oolong tea,milk foam,,cheese tea,US,Medium Salty Cream with Mountain Tea,6.95
YiFang,black tea,black sesame;milk foam,,cheese tea,US,Black Sesame Black Tea Salty Cream (M),7.25
YiFang,green tea,black sesame;milk foam,,cheese tea,US,Black Sesame Green Tea Salty Cream (M),7.25
YiFang,oolong tea,black sesame;milk foam,,cheese tea,US,Black sesame Oolong Tea Salty Cream (M),7.25
YiFang,oolong tea,black sesame;milk foam,,cheese tea,US,Black sesame Mountain Tea Salty Cream (M),7.25
YiFang,black tea,pearl,,tea,US,Pearl Black Tea,6.6
YiFang,green tea,pearl,,tea,US,Pearl Green Tea,6.6
YiFang,oolong tea,honey,,tea,US,Multi-Floral Honey Mountain Tea,6.6
YiFang,oolong tea,herbal jelly,,tea,US,Grass Jelly Tea,6.6
YiFang,wintermelon tea,,,tea,US,Winter Melon Drink,6.6
YiFang,black tea,,,tea,US,Sun Moon Lake Black Tea,5.65
YiFang,green tea,,,tea,US,Pouchong Green Tea,5.65
YiFang,oolong tea,,,tea,US,Songboling Mountain Tea,5.65
YiFang,oolong tea,,,tea,US,Lugu Oolong Tea,5.65
YiFang,black tea;ginger,,,tea,US,Luye Ginger Tea L,7.5
YiFang,black tea;ginger,,lemon,tea,US,Lemon Ginger Tea L,8.15
YiFang,black tea;ginger,,longan,tea,US,Longan Ginger Tea L,8.15
YiFang,black tea;jujube,,longan,tea,US,Longan and Jujube Tea L,8.75
YiFang,black tea;milk;ginger,pearl,,milk tea,US,Ginger Pearl Black Tea Latte L,8.45
YiFang,milk;ginger,pearl,,milk,US,Ginger Pearl Latte L,8.45
YiFang,black tea;milk,brown sugar;pearl,,milk tea,US,Brown Sugar Pearl Latte,7.25
YiFang,black tea;milk,brown sugar;pearl,,milk tea,US,Brown Sugar Pearl Black Tea Latte,7.25
YiFang,oolong tea;milk,brown sugar;pearl,,milk tea,US,Brown Sugar Pearl Oolong Tea Latte,7.25
YiFang,milk;matcha,brown sugar;pearl,,matcha,US,Brown Sugar Pearl Matcha Latte,8.45
YiFang,cocoa;milk,brown sugar;pearl,,cocoa,US,Brown Sugar Pearl Cocoa Latte,7.85
GongCha,milk;black tea,bubble,,milk tea,US,Pearl Milk Tea,5.0
GongCha,milk;black tea,taro,,milk tea,US,Taro Milk Tea,5.25
GongCha,milk;black tea,brown sugar,,milk tea,US,Brown Sugar Milk Tea,5.0
GongCha,milk;black tea,,strawberry,milk tea,US,Strawberry Milk Tea,5.25
GongCha,green tea,,mango,milk tea,US,Mango Green Tea,5.0
GongCha,green tea,,passion fruit,fruit tea,US,Passionfruit Green Tea,5.0
GongCha,milk;black tea,brown sugar,,milk tea,US,Dirty Brown Sugar Milk Tea,5.25
GongCha,green tea,cheese foam,,cheese tea,US,Milk Foam Green Tea,5.0
GongCha,milk;earl grey,,,milk tea,US,Earl Grey Milk Tea with 3Js,6.0
GongCha,milk;black tea,,,milk tea,US,Milk Tea,4.5
GongCha,milk;green tea,white pearl,,milk tea,US,Green Milk Tea with White Pearl,5.25
GongCha,milk;black tea,herbal jelly,,milk tea,US,Milk Tea with Herbal Jelly,5.0
GongCha,milk;oolong tea,pudding,,milk tea,US,Oolong Milk Tea with Pudding,5.0
GongCha,milk;earl grey,herbal jelly;pudding;pearl,,milk tea,US,Earl Grey Milk Tea with 3Js,6.0
GongCha,milk;black tea,caramel,,milk tea,US,Caramel Milk Tea,5.0
GongCha,milk;black tea;ginger,brown sugar,,milk tea,US,Brown Sugar Ginger Milk Tea,5.0
GongCha,green tea,pearl;coconut jelly,passion fruit,fruit tea,US,QQ Passion Fruit Green Tea,5.75
GongCha,green tea,,mango,fruit tea,US,Mango Green Tea,5.0
GongCha,oolong tea,,lychee,fruit tea,US,Lychee Oolong Tea,5.0
GongCha,green tea,,strawberry,fruit tea,US,Strawberry Green Tea,5.0
GongCha,green tea,,peach,fruit tea,US,Peach Green Tea,5.0
GongCha,green tea,,grapefruit,fruit tea,US,Grapefruit Green Tea,5.0
GongCha,green tea,honey,,tea,US,Honey Green Tea,5.0
GongCha,green tea,,,tea,US,Hibiscus Green Tea,5.0
GongCha,wintermelon tea,basil seeds,lemon,tea,US,Lemon Wintermelon with Basil Seeds,5.25
GongCha,lemonade,white pearl;aiyu jelly,lemon,lemonade,US,Lemon Ai-Yu with White Pearl,5.25
GongCha,cocoa,caramel,,cocoa,US,Caramel Chocolate,5.25
GongCha,ginger,brown sugar,,tea,US,Brown Sugar Ginger Tea,5.0
GongCha,cocoa,,,cocoa,US,Chocolate Drink,5.0
GongCha,milk,brown sugar,,milk,US,Dirty Brown Sugar Milk,5.75
GongCha,milk;ginger,brown sugar,,milk,US,Dirty Brown Sugar Ginger Milk,5.75
GongCha,milk;black tea,,,milk tea,US,Tea Latte,5.25
GongCha,milk;matcha,,,matcha,US,Matcha Tea Latte,5.25
GongCha,milk;wintermelon tea,,,milk tea,US,Wintermelon Latte,5.25
GongCha,milk;thai tea,,,milk tea,US,Thai Tea Latte,5.75
GongCha,milk;chai tea,,,milk tea,US,Chai Tea Latte,5.25
GongCha,milk;black tea;ginger,brown sugar,,milk tea,US,Brown Sugar Ginger Tea Latte,5.25
GongCha,milk,herbal jelly,,milk,US,Fresh Milk with Herbal Jelly,5.75
GongCha,milk,pudding;red bean,,milk,US,Fresh Milk with Pudding and Red Bean,5.75
GongCha,oolong tea,milk foam,,cheese tea,US,Milk Foam Oolong Tea,5.0
GongCha,black tea,milk foam,,cheese tea,US,Milk Foam Black Tea,5.0
GongCha,earl grey,milk foam,,cheese tea,US,Milk Foam Earl Grey Tea,5.0
GongCha,wintermelon tea,milk foam,,cheese tea,US,Milk Foam Wintermelon Tea,5.0
GongCha,ginger,milk foam;brown sugar,,cheese tea,US,Milk Foam Brown Sugar Ginger Tea,5.25
GongCha,oolong tea,milk foam;brown sugar,,cheese tea,US,Milk Foam Brown Sugar Oolong Tea,5.25
GongCha,black tea,,,tea,US,Black Tea,4.25
GongCha,green tea,,,tea,US,Green Tea,4.25
GongCha,oolong tea,,,tea,US,Oolong Tea,4.25
GongCha,earl grey,,,tea,US,Earl Grey Tea,4.25
GongCha,wintermelon tea,,,tea,US,Wintermelon Tea,4.5
GongCha,wintermelon tea;oolong tea,,,tea,US,Wintermelon Oolong Tea,5.0
GongCha,milk;black tea,taro,,milk tea,US,Fresh Taro Milk Tea,5.75
GongCha,milk;green tea,taro,,milk tea,US,Fresh Taro Green Tea Latte,6.0
GongCha,milk;black tea,taro,,milk tea,US,MF Fresh Taro Latte,6.0
